NM_BAIRRO;NM_LOGRADO;NU_NUMERO;NM_COMPLEM
ROCINHA;SUA LESTE 07;;APT 101
ROCINHA;TRAVESSA QUARENTA E OITO;12;CASA
MANGUINHOS;RUA MANOEL RIBEIRO VASCONCELOS;B20;APT 104
ROCINHA;RUA 1;;153 A
MANGUINHOS;AV DOS DEMOCRATICOS;30;RUA GUARANI  CASA 2
MANGUINHOS;RUA DABIL;21;CAMINHO DEMOCRATICOS
MANGUINHOS;RUA NOVACAP;59;EM FRENTE AO MAT CONSTRUCAO DO
MANGUINHOS;RUA LEOPOLDO BULHOES;700;CASA 10   QD 39
MANGUINHOS;RUA DA PASSAGEM;38;
MANGUINHOS;RUA MARAVILHA;7;
MANGUINHOS;RUA PERNAMBUCO;72;CASA 08
ROCINHA;RUA 1 TRAVESSA 49;15;
MANGUINHOS;RUA LEOPOLDO BULHOES;590;CASA 4
MANGUINHOS;RUA NOVA CAP;28;
MANGUINHOS;VIA SELETIVA;88;
MANGUINHOS;RUA JOSE MOREIRA PEQUENO;39;SOBRADO
ROCINHA;ESTRADA DA GAVEA;50;RUA 1
ROCINHA;RUA DA MATA;16;
ROCINHA;TRAVESSA ESPERANCA;19;CASA 10
ROCINHA;RUA DA RAIZ BECO 1;;
ROCINHA;ESTRADA DA GAVEA;555;302
ROCINHA;RUA 1 TRAVESSA 17 CASA 25;;
ROCINHA;ESTRADA DA GAVEA;168;DBTB
ROCINHA;RUA IV TRAVESSA 09 - 42;42;CASA 04 QT 02
ROCINHA;ESTRADA DA GAVEA;523;CASA 08
ROCINHA;ESTRADA DA GAVEA;14;RUA 2
ROCINHA;ESTRADA DA GAVEA;447;CASA B
ROCINHA;RUA 1;163;CASA3
ROCINHA;RUA 1 ,TRAV 47;10;101
ROCINHA;RUA III;;CASA 3
ROCINHA;RUA TRAMPOLIM;58;101
ROCINHA;ESTRADA DA GAVEA,RUA 2 ,BECO;368;
ROCINHA;ESTRADA DA GAVEA;405;CASA 6
ROCINHA;ESTRADA DA GAVEA;14;TRAVESSA FLORES APT 402
ROCINHA;RUA I;;CFDP K4,ECUC 3
ROCINHA;ESTRADA DA GAVEA;;RUA 4   CASA 8   BECO 47
ROCINHA;VIA APIA;18;203
ROCINHA;ESTRADA DA GAVEA;514;
ROCINHA;RUA UM;5;
ROCINHA;TRAVESA QUARENTA E DOIS;7;
ROCINHA;TRAVESSA I;110;
ROCINHA;TRAVESSA  LIBERDADE;12;102
ROCINHA;RUA SERVIDAO LESTE;13;31
ROCINHA;RIO DOIS;;TRAVESSA 17  N 36  CASA 01
ROCINHA;RUA 8;18;
ROCINHA;TRAVESSA CATIA;8;
ROCINHA;RUA DOIS BECO UM;184;CA 17
ROCINHA;RUA DOIS TRAVESSA 60;70;CASA 05
MANGUINHOS;RUA LEOPOLDO BULHOES;800;CASA 10
MANGUINHOS;RUA 10;10;QD 10
ROCINHA;RUA DOIS;140;
ROCINHA;ESTRADA DA GAVEA;461;CASA 4   201
ROCINHA;ESTRADA DA GAVEA;454;BLOCO 3 APT 202
ROCINHA;RUA  DOIS;48;TRAVESSA 17
ROCINHA;RUA DOIS 47 CASA 01 K 9;;
ROCINHA;ESTRADA DA GAVEA;215;
ROCINHA;ESTRADA DA GAVEA;225;CASA
ROCINHA;RUA 4 TRAVESSA 3 CASA 17;11;17
ROCINHA;TRAVESSA 16;7;DBTB
ROCINHA;RUA CAMINHO DO BOIADEIRO;13;APTO 302
ROCINHA;VILA 199;;TRAVESSA 8595   CASA 2
ROCINHA;TRAVESSA OITO;10;CASA 5
ROCINHA;RUA 2 BECO 4;;CASA 03
ROCINHA;VILA RAIZ;55;TRAVESSA 06
ROCINHA;RUA 4;15;
ROCINHA;ESTRADA DA GAVEA;326;101
ROCINHA;ESTRADA DA GAVEA RUA 02;;BECO 153 CASA 01
ROCINHA;TRAVESSA DO VALE;48;CASA 2
ROCINHA;TRAVESSA GREGORIO;;LT A
ROCINHA;RUA DO CANAL;4;CASA
ROCINHA;TRAVESSA ATLETA;25;CASA
ROCINHA;RUA QUATRO;37;TRAVESSA 24
ROCINHA;TRAVESSA KATIA;35;
ROCINHA;TRAVESSA OLIVEIRA;33;403
ROCINHA;RUA DOIS;;TRAVESSA 7 CASA 5
ROCINHA;ESTRADA DA GAVEA;523;CASA 27   TRAVESSA UNIAO
ROCINHA;ESTRADA DA GAVEA;;RUA DOIS   BECO 1   CASA 10
ROCINHA;RUA QUATRO;9;BECO 17
ROCINHA;ESTRADA DO JAIRO;259;CASA 5
ROCINHA;RUA TRES;185;TRAVESSA TREZE
ROCINHA;TRAVESSA PAZ;5;CACHOUPA
ROCINHA;RUA DO VALE;13 A;CASA 1
MANGUINHOS;RUA DO SINDICATO DO BARBOSA;22;
ROCINHA;TAVESSA LUCIA 33 CASA 20;;
ROCINHA;RUA 1 TRAVESSA 53 S/N;;
ROCINHA;ESTRADA DA GAVEA,RUA UM - 36;58;FUNDOS
ROCINHA;TRAVESSA KATIA;37 102;
ROCINHA;ESTRADA DA GAVEA RUA 03 CASA 23;;CASA 23
ROCINHA;RUA DOIS TRAVESSA 54;;CASA B
ROCINHA;RUA TRAMPOLIM;16;301
ROCINHA;ESTRADA DA GAVEA;;RUA DOIS   CASA 9
ROCINHA;RUA DOIS;116;CASA   FUNDOS
ROCINHA;RUA DA MOTA;714;VILA VERDE
ROCINHA;ESTRADA DA GAVEA;173;
ROCINHA;ESTRADA DA GAVEA;24;
ROCINHA;ESTRADA DA G AVEA,RUA 1;;
ROCINHA;RUA SERVIDAO LESTE 25 / 304;;
ROCINHA;ESTRADA DA GAVEA;554;CASA 2
ROCINHA;RUA DA MACEGA;130;BLOCO 142
ROCINHA;ESTRADA DA GAVEA;458;CASA 18,
ROCINHA;RUA CHACARA DA ALVORADA;23;APTO 101
ROCINHA;ESTRADA DA GAVEA RUA 3;;
ROCINHA;TRAVESSA MESOPOTANIA;41;
ROCINHA;RUA DO CANAL,TRAVESSA SETE;30;CASA A
ROCINHA;RUA TRES,TRAVESSA 8;85;
ROCINHA;TRAVESSA SAMARITANA;10;APARTAMENTO 101
ROCINHA;RUA I,TRAVESSA 24;3;CASA 2
ROCINHA;TRAVESSA MESOPOTAMIA;19;APARTAMENTO 201
ROCINHA;RUA DOIS;123;BLOCO112
ROCINHA;RUA RAIZ,;33;
ROCINHA;RUA DOUCIO;375;
ROCINHA;TRAVESSA MIL E TREZENTOS E SESSENTA E CINCO;2;
ROCINHA;RUA DA MACEGA;;
ROCINHA;TRAVESSA GREGORIO;14;
ROCINHA;RUA DOIS;196;CASA 27
ROCINHA;RUA DOIS BECOS;161;CASA 13
ROCINHA;RUA TRAMPOLIM;24;
ROCINHA;RUA QUARTA;19;
ROCINHA;TRAVESSSA UNIAO;29;APT 594
ROCINHA;TRAVESSA UM;75B;
ROCINHA;ESTRADA DA GAVEA;487;CASA 8
ROCINHA;TRAVESSA TRINTA E UM;13;CASA 1
ROCINHA;ESTRADA DA GAVEA;487;CASA 7
ROCINHA;ESTRADA DA GAVEA;486;CASA 7
ROCINHA;BECO 18 13 VIA VERME;;
ROCINHA;TRAVESSA GREGORIO;14 A;
ROCINHA;CAMINHO DO BOIADEIRO;16;205
ROCINHA;ESTRADA DA GAVEA;259;RUA UM
ROCINHA;RUA DO CANAL;45;
ROCINHA;ESTRADA DA GAVEA;413;CASA 02 FUNDOS
ROCINHA;RUA DO CANAL;44;APT 201
ROCINHA;RUA MUTIRAO;28;KT 8  DIONEIA
ROCINHA;TRAVESSA BEGUINHA 3;;CASA 3 FDS
ROCINHA;RUA 03;;CASA 9
ROCINHA;TRAVESSA MESOPOTAMIA;18;BERCO 02 CASA 06 APT 201
ROCINHA;RUA 02 APT 202 TRAVESSA 3;;
ROCINHA;TRAVESSA CAMPOS;17;DBTB
ROCINHA;ESTRADA DA GAVEA TRAVESSA 11;165;
ROCINHA;RUA DOIS;174;
ROCINHA;VILA VERDE TRAVESSA 41;6;
ROCINHA;ESTRADA DA GAVEA;385;
ROCINHA;ESTRADA DA GAVEA;199;C ASA 19
ROCINHA;RUA DO CANAL TRAVESSA 1;1;CASA 7 B
ROCINHA;RUA DOIS;SN;SEM NUMERO
ROCINHA;ESTRADA DA GAVEA - RUA;324;DA MATA
ROCINHA;TRAVESSA DO AMOR;10;CACHORRA
ROCINHA;ESTRADA DA GAVEA;118 A;
ROCINHA;VILA RAIZ;150;TRAVESSA UM   5B
ROCINHA;ESTRADA DA GAVEA;7;
ROCINHA;RUA 455;24;BECO 4
ROCINHA;ROUPA SUJA;15;
ROCINHA;ESTRADA DA GAVEA;259;RUA UM
ROCINHA;TRAVESSA GREGORIO;15;APARTAMENTO 25
ROCINHA;RUA IV;66;CASA 2B
ROCINHA;ESTRADA JAIRRO;523;CASA 92
ROCINHA;RUA DO CANAL;10;TRAVESSA 13
ROCINHA;TRAVESSA  CATIA;6;
ROCINHA;RUA 04 TRAVESSA 27/85;;
ROCINHA;ESTRADA DA GAVEA;250;CASA 19
ROCINHA;RUA II;75;SOBRADO   TRAVESSA 31
ROCINHA;TRAVESSA FLORES 05/101;;
ROCINHA;BECO E;;CASA 08
ROCINHA;TRAVESSA ESPERANÃA;19;
ROCINHA;ESTRADA DA GAVEA;464;
ROCINHA;TRAVESSA DA ESPERANCA;15;
ROCINHA;ESTRADA DA GAVEA;523;
ROCINHA;TRAVESSA KATIA;38;APARTMAENTO 601
ROCINHA;ESTRADA DA GAVEA;524;CASA 34 C
ROCINHA;ESTRADA DA GAVEA,RUA 1;259;CASA 3
ROCINHA;ESTRADA DA GAVEA;428;
ROCINHA;RUA 2;15;TRAVESSA13
ROCINHA;ESTRADA DA GAVEA;480A;CASA 82A
ROCINHA;TRAVESSA SILVEIRA;8;CASA 01B
ROCINHA;RUA QUARTO;5;
ROCINHA;RUA 4,TRAVESSA 14 B;;
ROCINHA;TRAVESSA DA LUZ;49;APARTAMENTO 301
ROCINHA;ESTRADA DA GAVEA;349;CASA 06
ROCINHA;ESTRADA DA GAVEA ,BECO 30;2;
ROCINHA;VILA RAIZ;40;DBTB 16 ,VTCXGUUC QKVQ
ROCINHA;RUA 02;14;
ROCINHA;RUA DO CANAL;28;DBTB
ROCINHA;ESTRADA DA GAVEA;407;
ROCINHA;RUA 04;3;APT 201
ROCINHA;RUA 02 BECO 02 CASA 18;;
ROCINHA;ESTRADA DA GAVEA;123;
ROCINHA;RAU TRES TRAVESSA NOVE;75;CASA 01
ROCINHA;ESTRADA DA GAVEA;449;CASA 03 FUNDOS
ROCINHA;ESTRADA DA GAVEA;162;CASA 08
ROCINHA;VL RAIZ TRAVESSA 01    70/204;70;204
ROCINHA;ESTRADA DA GAVEA;523;
ROCINHA;BECO ZERO ES ALZ C;;
ROCINHA;RUA DIONEIA;;
ROCINHA;CAMINHO DE BOIADEIRO;168;301
ROCINHA;TRAVESSA CAMPO ESPERANCA;43;
ROCINHA;TRAVESSA GREGORIO;3;603
ROCINHA;TRAVESSA CAMPOS;14;
ROCINHA;RUA 22;451;261
ROCINHA;RUA DOIS;;TV 38   110
ROCINHA;ESTRADA DA GAVEA;;R 1   259
ROCINHA;RUA DO CANAL;310;BECO 01 CASA 01
ROCINHA;RUA 1 DE MARCO;6;CASA 04
ROCINHA;RUA 02;;CASA 59
ROCINHA;LARGO DO BOIADEIRO;;BECO 11 APT 17
ROCINHA;ESTRADA DA GAVEA;199;CASA 15
ROCINHA;TRAVESSA SILVA;7;2 ANDAR
ROCINHA;ESTRADA DA GAVEA;371;
ROCINHA;TV UNIAO;19;301
ROCINHA;ESTRADA DA GAVEA;25;201
ROCINHA;ESTRADA DA GAVEA;396;
ROCINHA;RUA 2;22;
ROCINHA;ESTRADA DA GAVEA;;BC 131   07 B 6 A APT 301
ROCINHA;RUA 4 TRAVESSA 8 - 8 A;;
ROCINHA;ESTRADA DA GAVEA;259;BC 01 CASAS 30 CASA 1 A
ROCINHA;ESTRADA DA GAVEA  RUA 1;259;CASA 59
ROCINHA;RUA DA RAIA;13;
ROCINHA;RUA 2 TRAVESSA TREZE 35;;CASA 01
ROCINHA;ESTRADA DA GAVEA  R 2 CASA 16 C;;
ROCINHA;TRAVESSA KATIA;12;
ROCINHA;BECO PERNAMBUCO;29;
ROCINHA;RUA IV TRAVESSA 10;25;SB
ROCINHA;TRAVWESSA ESCADA;10;
ROCINHA;RUA 04 TRAVESSA 14 CASA B;;
ROCINHA;ESTRADA DA GAVEA 369;;TRAVESSA 47 RUA 01 CASA 91
ROCINHA;TRAVESSA CAMPO ESPERANCA;6;CAS A01
ROCINHA;ESTRADA DA GAVEA;22;DBTB
ROCINHA;RUA REGINA;29;CASA 25
ROCINHA;TRAVESSA 36 RUA 1 ,85;;
MANGUINHOS;RUA SAO DANIEL;4;
MANGUINHOS;RUA SAO LUIZ;10;
MANGUINHOS;RUA DO JARDIM;311;DBTB
MANGUINHOS;RUA DO JARDIM;311;
MANGUINHOS;RUA NAZARE;11;CONJUNTO HABITACIONAL PROVISOR
MANGUINHOS;RUA NOSSA SENHORA DOS NAVEGANTES;33;
ROCINHA;RUA IV TRAVESSA 28 - 90;;CASA 2
ROCINHA;RUA 02 TRAVESSA 52 105 APT 101;;
ROCINHA;ESTRADA DA GAVEA;259;CASA 07
ROCINHA;RUA BIOVEIA;399;
ROCINHA;ESTRADA DA GAVEA TRAVESSA VALE;;CASA 10
ROCINHA;ESTRADA DA GAVEA;170;CASA 16
ROCINHA;ESTRADA DA GAVEA;537;201 BC 02
ROCINHA;VILA RAIZ TRAVESSA 05;270;
ROCINHA;TRAVESSA CATIA 15 / 302;;
ROCINHA;RUA PALMEIRAS 11;;CASA 1
ROCINHA;RUA DOIS;31;TRAVESSA 11 APT 101
ROCINHA;RUA DOIS TRAVESSA 16 113;;
ROCINHA;ESTRADA DA GAVEA RUA 01 S/N;;
ROCINHA;RUA UMA 515 SOBRADO;;
ROCINHA;ESTRADA DA GAVEA;;RUA DOIS CASA 10 A
ROCINHA;VILA ROUPA SUJA;6;TRAVESSA TREZE CASA 13
ROCINHA;ESTRADA DA GAVEA;168;CASA 2253
ROCINHA;CAMINHO DO BRIZOLAO;16;CASA 08
ROCINHA;ESTRADA DA GAVEA;524;BECO B CASA 02
ROCINHA;ESTRADA DA GAVEA;610;
ROCINHA;ESTRADA DO CAMPINHO;S N;CACHOPA
ROCINHA;RUA DO CANAL;48;
ROCINHA;TRAVESSA UNIAO;02 202;
ROCINHA;TRAVESSA FLORES;6;CASA 101
ROCINHA;ESTRADA DA GAVEA;;
ROCINHA;TRAVESSA DO VALE 45 CAEHOPIA;;
ROCINHA;ESTRADA DA GAVEA;151;CLINICA DA GAVEA
ROCINHA;RUA 02;;
ROCINHA;RUA TRES;10;DBTB
ROCINHA;ESTRADA DA GAVEA;520;
ROCINHA;RUA III TRAVESSA 10;25;DBTB
MANGUINHOS;RUA HERIVELTON MARTINS;5;
ROCINHA;ESTRADA DA GAVEA;;R 2 CASA 10 A
ROCINHA;RUA 2;;CASA 5
ROCINHA;RUA 1 - TRAVESSA 36;;CASA 05
ROCINHA;ESTRADA DA GAVEA - RUA 2;;CASA 5
ROCINHA;ESTRADA DA GAVEA;385;
ROCINHA;RUA IV;;BECO 17 CASA 05
ROCINHA;TRAVESSA ESPERANCA;19;
ROCINHA;RUA DOIS 153 FUNDOS;CASA 5;
ROCINHA;TRAVESSA SILVA 16;;
ROCINHA;ESTRADA DA GAVEA RUA 4 TRAVESSA 8;46 A;CASA 03
ROCINHA;RUA 03  N 22;;CASA 03
ROCINHA;RUA UM;75;TRAVESSA 52
ROCINHA;RUA DO SALAO TRAVESSA 7;;CASA 35
ROCINHA;ESTRADA DA GAVEA;120;CASA 5
ROCINHA;RUA DIONEIA;400;CASA 30
ROCINHA;TRAVESSA UNIAO CARTEIRO AMIGO;;
ROCINHA;ESTRADA DA GAVEA;477;CASA 9
MANGUINHOS;RUA RANGEL;18;
ROCINHA;ESTRADA DA GAVEA;262;
ROCINHA;TRAVESSA MULTIDAO;4;
ROCINHA;RUA ANATRO TV 0942 C/4;;Q T 2 ROCINHA
ROCINHA;TRAVESSA CAMPOS;14;APT 401
ROCINHA;TRAVESSA DO VALLE;22;FUNDOS
ROCINHA;TRAVESSA CINQUENTA E DOIS;10;
ROCINHA;TRAVESSA SERVIDAO LESTE;3;
ROCINHA;TRAVESSA ONZE;45;
ROCINHA;TRAVESSA FLORES;2;
ROCINHA;RUA DO VALAO;365;
ROCINHA;ESTRADA DA GAVEA;259;CMPDP 78   DBTB 59
ROCINHA;RUA DOIS;124;BECO 120   CASA 4
ROCINHA;RUA DOIS ,ESTRADA GAVEA;146;
ROCINHA;ESTRADA DA GAVEA;325;CASA 3
MANGUINHOS;RUA SANTA MADALENA;3;A
MANGUINHOS;RUA LEOPOLDO BULHOES 700 RUA 1;12;
MANGUINHOS;RUA MARIANA;55;CAS A
MANGUINHOS;RUA SAO DANIEL;S N;PARQUE JOAO GOULART
MANGUINHOS;RUA LEOPOLDO BULHOES;700;QUADRA 35 CASA 12
MANGUINHOS;RUA 1;2;CASA 2
MANGUINHOS;RUA LEOPOLDO BULHOES 700 RUA 1;12;
MANGUINHOS;RUA SANTA MADALENA;3;A
ROCINHA;ESTRADA DA GAVEA RUA 2;;CASA 10 A
ROCINHA;RUA 02 BECO 161 CASA 13;;BECO 161 CASA 13
ROCINHA;RUA CACHAPA;8;
ROCINHA;RUA DA PRAIA;20;
ROCINHA;ESTRADA DA GAVEA;524;CASA 20
MANGUINHOS;RUA NOVA CAP;87;
MANGUINHOS;RUA PERNAMBUCO;87;
MANGUINHOS;VIA DAS PEDRAS;17;
MANGUINHOS;RUA DAS PEDRAS;;
MANGUINHOS;RUA DA PASSAGEM;42;
MANGUINHOS;RUA SAO MIGUEL;5;
MANGUINHOS;RUA MARIANA;30;
MANGUINHOS;RUA NAZARE;75;
MANGUINHOS;TRAVESSA AMANDA;14;DBTB
MANGUINHOS;RUA OSVALDO CRUZ;57;
MANGUINHOS;RUA ROSA DA FONCSECA;26;FRANCISCO ALVES
MANGUINHOS;RUA SAO MIGUEL;50;
MANGUINHOS;RUA DOS PALAMRES;14;
MANGUINHOS;BECO DA PASSAGEM;27;
MANGUINHOS;RUA JORGE GARCIA;21;
ROCINHA;TRAVESSA GREGORIO;1012 A;
ROCINHA;RUA UM TRAVESSA 69 CASA 05;;
MANGUINHOS;AVENIDA ATLANTICA;78;
MANGUINHOS;RUA CARLOS CHAGAS;115A;
MANGUINHOS;RUA LEOPOLDO BULHOES;700;QUADRA 16 CASA 10
MANGUINHOS;RUA NAZARE;;CASA
MANGUINHOS;RUA NAZARE;38;CASA
MANGUINHOS;RUA SAO MATEUS;8;
MANGUINHOS;RUA SAO PEDRO;5;CASA
MANGUINHOS;RUA SAO GERALDO;2;CASA
MANGUINHOS;RUA NOSSA SENHORA DE FATIMA;18 C;CASA
MANGUINHOS;RUA RANGEL;5;
MANGUINHOS;RUA LEOPOLDO BULHOES;800;CASA 39
MANGUINHOS;RUA CARLOS CHAGAS;11;DBTB
MANGUINHOS;RUA DA BICA;18;DBTB
MANGUINHOS;RUA RANGEL;18;
MANGUINHOS;RUA SANTA MADALENA;17;SOBRADO
MANGUINHOS;RUA ROSA DA FONSECA;199;
ROCINHA;ESTRADA DA GAVEA TRAVESSA LUZ;523;
MANGUINHOS;RUA QUATORZE;;QUADRA 17
MANGUINHOS;RUA 09;30;CONAB
ROCINHA;VILA 199;35;
ROCINHA;RUA JOSE INACIO;16 A;CASA 01
ROCINHA;ESTRADA DA GAVEA;462;ROCINHA
ROCINHA;ESTRADA DA GAVEA;170;
MANGUINHOS;RUA SANTA MARTA;10;
ROCINHA;ESTRADA DA GAVEA RUA DOIS TRAVESSA 54;CASA22;
MANGUINHOS;RUA ROSA DA FONSECA;243;FUNDOS CASA 03
ROCINHA;ESTRADA DA GAVEA;58;
MANGUINHOS;RUA CELSO DE MAIA FONSECA;;BL 33 APT 302
ROCINHA;RUA MARIA DO CARMO;51;
ROCINHA;RUA 02;5;
MANGUINHOS;RUA LEOPOLDO BULHOES;800;RUA 16 QD 16 CAS A18
ROCINHA;RUA DE FRONT;8;F
ROCINHA;ESTRADA GAVEA;523;CASA 01
MANGUINHOS;BECO DO TCHAM;7;CASA
MANGUINHOS;RUA DO CANAL 2;580;CASA
ROCINHA;ESTRADA DA GAVEA;369;CASA 17
ROCINHA;ESTRADA DA GAVEA;477;CASA 12   2
ROCINHA;RUA DOIS TRAVESSA 54;45;CASA 01
ROCINHA;TRAVESSA OLIVEIRA;11;APT 101
ROCINHA;ESTRADA DA GAVEA RUA 4;425;
ROCINHA;VILA RAIZ TRAVESSA 8;40;CASA A
ROCINHA;VILA VERDE BECO 2;;CASA 8
